,0
0,می‌دونستین یه راهکار ساده، می‌تونه خیلی از عفونت‌های بچه هارو کنترل کنه؟
1,لینک حذف تاپیک و پست های درخواستی
2,روش های تمیز کردن منزل و محیط کار + هوم پلاس
3,اطلاعیه 📣📣 کاربران عزیز توجه بفرمایید📣📣
4,کاربران عزیز، از گذاشتن عکس و اطلاعات محرمانه خودداری فرمایید
5,چت شوهرم باهمکارش+شات
6,عجب😐
7,دوست پسرم بیکاره نظرتونو بگین
8,جرم‌ گیری دندون 
9,ب نظرتون اینجا چقد عضو داره
10,تورو خدا پر بازدیدش کنید لطفا 😭یکی از اقواممون کرونا گرفته حالش خیلی بده اعزامش کردن تهران 😔😔
11,حس۶گلاره
12,خانومای اهل طلا بیاین یه لحظه
13,کنکوریا به نظرتون تستایی ک میزنم کمه؟
14,میشه ۴۱ نفر بیایین😭😭بهتون احتیاج دارم 😭😭خواهشا دوستان...
15,بکارت و رابطه. ترو خدا بیاید.متاهلام بیان
16,به نظرتون این کاربر مرده؟ 
17,خیلی تو رابطه با شوهرم سردم همش دارم نقش بازی میکنم 
18,پدرشوهرم اومد خونمون باهم دعوامون شد
19,در چه حالید؟
20,برای معاینه فرهنگیان کامل لختمون میکنن؟
21,اینکه میگن خوزستان آب و برق نداره....کجا خوزستان؟
22,بچه ها ی مرد مریض جنسی تو تاپیکمه 
23,درد معده شدید 
24,وای این بوی بد حاصل از رژیم کتوژنیک کی از بین میره کلافه شدم
25,نظرسنجی۵.ساکن کدام استانید؟(قسمت پنج)
26,دوستان پسرم پ ی پ ی ش رو نگه میداره.خیلی نگرانم
27,نی نی 3 روزه به دنیا اومده نوک سینه رو نمیتونه بگیره چیکار کنم؟😭
28,کوسن مبل +عکس پارچه
29,کسایی که واکسن زدن ناقلن؟
30,می‌دونستین یه راهکار ساده، می‌تونه خیلی از عفونت‌های بچه هارو کنترل کنه؟
31,لینک حذف تاپیک و پست های درخواستی
32,روش های تمیز کردن منزل و محیط کار + هوم پلاس
33,اطلاعیه 📣📣 کاربران عزیز توجه بفرمایید📣📣
34,کاربران عزیز، از گذاشتن عکس و اطلاعات محرمانه خودداری فرمایید
35,کوسن مبل +عکس پارچه
36,چت شوهرم باهمکارش+شات
37,وای این بوی بد حاصل از رژیم کتوژنیک کی از بین میره کلافه شدم
38,خانومای اهل طلا بیاین یه لحظه
39,بدون عنوان
40,بنظرتون ؟
41,عجب😐
42,دوست پسرم بیکاره نظرتونو بگین
43,جرم‌ گیری دندون 
44,ب نظرتون اینجا چقد عضو داره
45,تورو خدا پر بازدیدش کنید لطفا 😭یکی از اقواممون کرونا گرفته حالش خیلی بده اعزامش کردن تهران 😔😔
46,حس۶گلاره
47,کنکوریا به نظرتون تستایی ک میزنم کمه؟
48,میشه ۴۱ نفر بیایین😭😭بهتون احتیاج دارم 😭😭خواهشا دوستان...
49,بکارت و رابطه. ترو خدا بیاید.متاهلام بیان
50,به نظرتون این کاربر مرده؟ 
51,خیلی تو رابطه با شوهرم سردم همش دارم نقش بازی میکنم 
52,پدرشوهرم اومد خونمون باهم دعوامون شد
53,در چه حالید؟
54,برای معاینه فرهنگیان کامل لختمون میکنن؟
55,اینکه میگن خوزستان آب و برق نداره....کجا خوزستان؟
56,بچه ها ی مرد مریض جنسی تو تاپیکمه 
57,درد معده شدید 
58,نظرسنجی۵.ساکن کدام استانید؟(قسمت پنج)
59,دوستان پسرم پ ی پ ی ش رو نگه میداره.خیلی نگرانم
60,نظرسنجی۵.ساکن کدام استانید؟(قسمت پنج)
61,دوستان پسرم پ ی پ ی ش رو نگه میداره.خیلی نگرانم
62,نی نی 3 روزه به دنیا اومده نوک سینه رو نمیتونه بگیره چیکار کنم؟😭
63,خانما من ی سوال خصوصی دارم 
64,سرطان روده گرید ۴
65,رفیق نابم...
66,چجوری 10کیلو وزن اضافه کنم؟
67,سرما خورده بودم ولی هنوز 
68,بابا...
69,سلام مامانای باردار و بچه دار بیایین 
70,داخل خونه یا بیرونه خونه؟
71,کسی تجربه کم بودن مایع امنیوتیک رو داشته؟ 
72,کیا مث من صبحا نمیتونن درس بخونن؟ 
73,کنکوریم،کتاب نیاز دارم!!!!
74,دارو ضدسرفه
75,از ردیف اول ایموجی های تلگرام هرکسی میشه فهمید سینگله یا رل داره   
76,امروز ۴/۳۱ مامانم هنوز حقوق بازنشستگیش رو نگرفته کسی مثل ما هست؟
77,کسی هس برام یه فال ازهرچی که بلده بگیره
78,  🔹💠🔹 طرح مهدوی 🔹💠🔹
79,خوزستان آب ندارد.خوزستان برق ندارد.خوستان اینترنت ندارد
80,انایی که جواب ازمایش بلدن ی لحظه میاین
81,این دنیا هیچ چیزش عادلانه نیس😏😏
82,به نظرتون خوشگله
83,کسی از ذکر یا لطیف برای ازدواج حاجت گرفته
84,نی نی سایت براشما تبریک میفرسته؟؟؟😄😄😄🤣🤣🤣
85,تو رو خدا اگه راهی برای گشایش رزق و روزی می دونید بهم بگید ، بی پولی داره منو خیلی عذابم میده 😔
86,بالاخره تونستم باهاش حرف بزنم+اسکرین شات چتمون.بنظرتون چجور ادمیه؟؟
87,كدوم از اينا خوشگلتره؟؟؟+عكس
88,فردا عروسی داریم 
89,باهاش ازدواج کنم کارش خیانته؟
90,فردا عروسی داریم 
91,باهاش ازدواج کنم کارش خیانته؟
92,لاغری گروهی درتل گرام
93,بیاین عکسمو بزارم+عکس
94,خانما معنیه این بیت چیه؟(دهان مور را پرخاک دارد بی زبانی ها     مرا تیغ زبان چون مار بی زنهار بایستی...
95,من نظام قدیم بودم می‌خوام تجربی شرکت کنم زبانش کلمه های عوض شده؟
96,حدیثی تکان دهنده از امام حسین (ع)...
97,با این مواد غذائی مثل یه بچه بخوابید
98,کسی شماره علامه حسن زاده املی رو داره🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸
99,کسی میخواد به کارتن خواب ها کمک کنه
100,الان خوشحالی یا ناراحت؟بیاین یه خورده حرف بزنیم
101,خواهرشوهرم گفت بچت پسره 😣
102, سلام مامانا بنظرتون درس مو ادامه بدم یا ترک تحصیل کنم 
103,بعله! شوهر منم کرونا دلتا گرفت😫🤦🤪
104,انتقام ازشوهر
105,کیا از برادر شوهرشون متنفرن؟؟؟؟؟
106,رشد ابرو ها چی استفاده میکنید؟
107,↩ خانم های محترم در این موارد دخالت ممنوع ❌ + 📷
108,تو رو خدا چیز های امید وار کننده از سرطان معده بگید 😭😭😭😭
109,کیا تو بارداری مخصوصا اوایلش چاق شدن؟ 
110,صورتم درد میکنه تا حالا برای شما پیش اومده؟
111,خواب شما 
112,من خيلي تعارفيم ياشماام بوديد
113,شایدترسناک بادرا نیان😐
114, فروختن طلا و خریدماشین
115,حس اون میلیاردری رو دارم که....😂😂😂
116,دوستان بیاین لطفا😭
117,با مامانم سر پسرم دعوام شدددد
118,جایی رو میشناسین که انلاین زبان تدریس کنه؟
119,کاشت ناخن برای دختر ۱۳ ساله
120,کاشت ناخن برای دختر ۱۳ ساله
121,عکسم استوریم چک شه لطفا💋😍
122,کیا واسه کنکور اصلا کلاس نرفتن
123,تدریس ریاضی اول تا نهم 
124,ختم قرآن هدیه به اسیران خاک
125,نظرسنجی۳.ساکن کدام استانید؟(قسمت سه)
126,اموزشگاه ارایشگری
127,اونایی که معتقدن زنی که خرج داره ارج داره.
128,پایان اینترنت در ایران
129,بوتيك لباس بچه بزنم يا لباس بزرگسال يا مانتو فروشي ؟
130,کسی کتاب فال حافظ داره میشه خواهش کنم که
131,کلاه قرمزی و پسر خاله   +عکس😂😂😂😂😂
132,آمبرهرد و رحم اجاره‌ای
133,یه دقه بیاین به کمکتون احتیاج دارم
134,یهو یادم افتاد اعصابم خورد شد
135,خانما 
136,ارشدای پرستاری بیایید یه لحظه کمک
137,یه رمان چندش خوندم از خودم بیزارم
138,نظرتون چیه؟
139,یه  سایت یا کانال ک لباسای شیردهی و دکمه دار خوب داشته باشه 
140,دوستان میشه یه صلوات و فاتحه واسه روح عرفان عزیز بفرستین؟ 
141,جای من بودین چ حسی بتون دست میده و چ کار می کردین 
142,شیرازیا بیاین تورو خدا😢
143,دکتر تغذیه خیلی خوب تو تهران میخوام
144,جای من بودین چ کار می کردین صادقانه جواب بدین لطفا 
145,شهیدانه
146,تو رشته آرایشگری....شینبون و هیرکات....درامدش خوبه؟
147,اقا من خیلی کنجکاوم😂🤟اون کاربره ک مرغ میخاس بذاره چیکار کرد😂
148,شوهرم نمیدونم کرونا گرفته یا ن ننشم زنگ زده میگ
149,شروعِ ۴۰ روز زیارت عاشورا😍🤲
150,شوهرم نمیدونم کرونا گرفته یا ن ننشم زنگ زده میگ
151,شروعِ ۴۰ روز زیارت عاشورا😍🤲
152,یه دیوونه به یه دیوونه دیگه میگه مگه دیوونه ای!!!!!!🤣
153,عروسی دعوتم برم یا نرم؟؟😪🤔
154,مادرم مادر شوهرم گیس همو کشیدن 😔😔😔
155, به نظرتون دربند درکه  فردامیشه رفت می‌زارن 
156,استوریم چک شه لطفا💋
157,کیا تنهان?😦
158,نظر سنجی۴.ساکن کدام استان هستید؟(قسمت چهار)
159,کمکم میکنید محصولاتم رو بفروشم؟ 😔😔
160,بنظرتون راهی هست نظراتی  که تو سایتا دادیم پاک شن؟
161,باکره
162,انقدر پشیمونم تو سن کم بچه اوردم! 
163,در راستای تاپیک کفش چند میلیونی الان منم یه چیزی یادم افتاد نصفه شبی
164,سریال سیاوش
165,حذف تاپیک 
166,بچها خاستگارم زنگ نزده یک هفته خودشون گفتن نظرمون مثبته
167,کسی فالی بلده واقعی باشه برام بگیره؟میشه اگه کسی هست درخواست دوستی بده لطفا
168,@آناتا
169,خانوما با فروش طلا برای کمک به شوهر موافقید؟
170,هتل هزارویک مشهد
171, حمایت از شوهر
172,نظر سنجی.ساکن کدام استان هستید؟
173,بچها واسه‌ سوراخ کردن گوش بی حسی میزنن؟
174,بچه ای که موقع خواب با بدن مامانش بازی کنه رو چطوری ترک بدم؟
175,عکس بچه گیام 
176,دعا ویا ختم برای جور شدن انتقالی
177,بنظرتون برم دانشگاه زبان بخونم ؟؟
178,دعانویس خوب و حرفه ای
179,حس ششم 
180,شماهم بیاین بگین
181,کسانی که تو بانک پول گذاشتین و سود میگیرین
182,کدوم عکسسسسسس؟
183,اگه کسی بهتون بی احترامی کنه و اصلا دعوتتون نکنه خونش چیکار میکنین؟
184,طروف سرامیکی
185,عذرخواهی از پیج حکیم باشی
186,یخچال دو قلو چی بخرم؟هیمالیا مدل پانورما کسی داره؟
